                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.3384,                 1.3529,                 1.4397,                 1.3856,                 1.5512,                 1.4093,                0.84795,                0.12938,                0.15937,                0.07839,                 2.6157,                 3.7051,                 3.0068,                  2.461,                 4.0377,                 2.9328,               0.006535,               0.006535,               0.006535
                     38,                 1.3493,                 1.3355,                 1.4528,                 1.3896,                 1.5317,                 1.4072,                0.67917,                0.46884,                0.50193,                0.24521,                 1.7257,                 1.6686,                  1.852,                 1.6933,                 1.8598,                 1.7855,               0.006436,               0.006436,               0.006436
                     39,                 1.3426,                 1.3393,                  1.443,                 1.3738,                 1.5063,                  1.403,                0.55724,                0.34662,                0.33604,                0.15946,                 2.0484,                 2.4014,                 2.2058,                  2.036,                 2.5124,                 2.1446,               0.006337,               0.006337,               0.006337
                     40,                 1.3458,                 1.2972,                 1.4304,                 1.3848,                 1.4638,                  1.388,                0.59915,                0.24795,                0.26182,                0.12113,                 2.2593,                 3.1333,                 2.6583,                 2.1717,                 3.5195,                 2.4416,               0.006238,               0.006238,               0.006238
                     41,                 1.3549,                 1.3286,                 1.4505,                 1.4116,                 1.4899,                 1.4171,                0.59854,                0.32068,                0.34279,                 0.1713,                 2.1156,                 2.4316,                 2.3555,                  2.022,                 2.7708,                 2.3001,               0.006139,               0.006139,               0.006139
                     42,                 1.3297,                 1.3084,                 1.4401,                  1.375,                 1.4975,                 1.4086,                0.73388,                0.44049,                0.51203,                0.27033,                 1.7407,                   1.68,                 1.9069,                 1.6708,                 1.8265,                 1.8012,                0.00604,                0.00604,                0.00604
                     43,                 1.3346,                  1.279,                 1.4425,                 1.3941,                 1.4325,                 1.4071,                0.75549,                0.13295,                0.10892,                0.04455,                 2.6045,                 3.9078,                  2.975,                 2.4716,                  4.405,                 2.8312,               0.005941,               0.005941,               0.005941
                     44,                 1.3288,                 1.2969,                 1.4337,                  1.393,                 1.4569,                 1.4061,                0.70871,                0.51694,                0.56817,                0.29708,                 1.5469,                 1.4104,                 1.7391,                 1.5358,                 1.5909,                 1.7076,               0.005842,               0.005842,               0.005842
                     45,                 1.3102,                  1.271,                 1.4252,                 1.3542,                 1.4462,                 1.3897,                 0.7354,                0.48854,                0.56032,                0.31228,                 1.5328,                  1.402,                 1.7105,                 1.5183,                 1.5643,                 1.6354,               0.005743,               0.005743,               0.005743
                     46,                 1.3258,                 1.2662,                 1.4216,                 1.3781,                 1.4223,                 1.3993,                0.70545,                0.51593,                0.53764,                0.28953,                 1.6452,                 1.5746,                 1.8182,                 1.5743,                 1.7133,                 1.7478,               0.005644,               0.005644,               0.005644
                     47,                 1.3301,                 1.2644,                 1.4144,                  1.375,                 1.4014,                 1.3793,                0.73447,                0.24334,                0.20976,                0.09817,                 2.5006,                 3.5047,                 2.9329,                 2.3272,                 4.0426,                 2.7473,               0.005545,               0.005545,               0.005545
                     48,                 1.2708,                 1.2543,                  1.403,                 1.3177,                 1.3866,                  1.373,                0.72727,                0.35735,                0.37284,                0.18613,                 1.9265,                 2.4563,                 2.1933,                 1.8261,                 2.7143,                 2.0143,               0.005446,               0.005446,               0.005446
                     49,                 1.3061,                 1.2547,                 1.4313,                 1.3659,                 1.4086,                 1.3895,                0.79948,                0.27704,                0.34641,                0.15566,                 2.3388,                 2.5413,                  2.584,                 2.2453,                  2.826,                 2.4718,               0.005347,               0.005347,               0.005347
                     50,                 1.3113,                 1.2525,                 1.4327,                 1.3589,                 1.3802,                 1.3967,                0.78418,                0.47483,                0.55057,                0.29254,                 1.6799,                 1.5161,                 1.8093,                 1.6032,                 1.6715,                 1.7645,               0.005248,               0.005248,               0.005248
                     51,                 1.3081,                 1.2402,                 1.4188,                 1.3541,                  1.371,                 1.3877,                0.77838,                0.31213,                 0.3431,                0.17455,                 2.0981,                 2.6733,                 2.3699,                 2.0368,                 2.9303,                 2.2917,               0.005149,               0.005149,               0.005149
                     52,                 1.2713,                 1.2162,                 1.4078,                 1.3231,                 1.3501,                  1.377,                0.72272,                0.46171,                0.50328,                 0.2518,                  1.733,                  1.767,                 1.9433,                 1.6869,                 1.9785,                 1.8822,                0.00505,                0.00505,                0.00505
                     53,                 1.2549,                 1.1842,                 1.3927,                 1.3105,                 1.3049,                  1.363,                0.73232,                0.46877,                0.53241,                0.27574,                 1.6643,                 1.5799,                 1.8778,                 1.5653,                  1.723,                 1.7549,               0.004951,               0.004951,               0.004951
                     54,                 1.2966,                 1.2119,                 1.4135,                 1.3573,                 1.3632,                  1.394,                0.81584,                0.26659,                0.34894,                0.16051,                 2.1427,                 2.6128,                 2.4576,                 2.0771,                 2.9213,                 2.3287,               0.004852,               0.004852,               0.004852
                     55,                 1.3042,                 1.1768,                 1.3966,                 1.3681,                 1.3053,                 1.3805,                 0.7163,                0.42165,                0.48946,                0.24566,                 1.7545,                 1.8631,                 1.9735,                 1.7306,                 1.9811,                 1.9039,               0.004753,               0.004753,               0.004753
                     56,                 1.2752,                 1.1791,                 1.3874,                 1.3308,                 1.3173,                 1.3588,                0.78987,                  0.486,                0.57704,                0.29524,                 1.6261,                 1.4996,                 1.7971,                 1.6276,                 1.6179,                 1.7474,               0.004654,               0.004654,               0.004654
                     57,                 1.2762,                 1.1895,                 1.3997,                 1.3346,                 1.3163,                 1.3791,                0.71101,                0.42644,                0.47213,                0.24049,                 1.8354,                 1.8171,                 2.0641,                 1.7851,                 2.0014,                 1.9345,               0.004555,               0.004555,               0.004555
                     58,                 1.2643,                 1.1761,                 1.3937,                 1.3236,                 1.3054,                 1.3718,                0.82482,                0.19549,                0.24404,                0.11178,                 2.4965,                 3.4646,                 2.8369,                 2.3516,                 3.8228,                 2.7146,               0.004456,               0.004456,               0.004456
                     59,                  1.275,                 1.1521,                 1.3881,                 1.3283,                 1.2607,                 1.3595,                0.76461,                0.51213,                0.56811,                0.31972,                 1.6033,                  1.375,                 1.7534,                 1.5433,                 1.5787,                   1.69,               0.004357,               0.004357,               0.004357
                     60,                 1.2478,                 1.1585,                 1.3692,                 1.3093,                 1.2607,                 1.3466,                0.77785,                0.51343,                0.59207,                0.32203,                 1.5542,                 1.3567,                 1.7355,                 1.5366,                 1.4521,                 1.6934,               0.004258,               0.004258,               0.004258
                     61,                 1.2539,                 1.1729,                 1.3769,                 1.3191,                 1.3124,                 1.3581,                0.70317,                0.49381,                0.53609,                0.26069,                  1.765,                 1.6381,                 1.9779,                 1.7509,                  1.724,                 1.9065,               0.004159,               0.004159,               0.004159
                     62,                 1.2647,                 1.1786,                 1.4045,                 1.3174,                 1.2917,                 1.3754,                0.77481,                 0.4722,                0.56228,                0.27875,                 1.7426,                 1.5266,                 1.8707,                 1.7677,                 1.5921,                 1.8231,                0.00406,                0.00406,                0.00406
                     63,                 1.2368,                  1.127,                 1.3657,                  1.301,                 1.2324,                 1.3499,                 0.7894,                0.55366,                0.61552,                0.34184,                 1.5434,                 1.3707,                 1.7279,                 1.5563,                 1.4275,                 1.6899,               0.003961,               0.003961,               0.003961
                     64,                 1.2403,                 1.1485,                 1.3897,                 1.2991,                 1.2683,                 1.3671,                0.64139,                0.39868,                0.42531,                0.20116,                 1.9661,                 2.0932,                 2.2006,                 1.9532,                 2.4217,                 2.1905,               0.003862,               0.003862,               0.003862
                     65,                 1.2517,                 1.1403,                 1.3841,                  1.316,                 1.2587,                  1.361,                0.65659,                0.40836,                0.44537,                0.22892,                 1.8737,                 1.9864,                 2.0417,                 1.8727,                 2.2441,                 1.9734,               0.003763,               0.003763,               0.003763
                     66,                 1.2557,                 1.1453,                 1.3815,                 1.3021,                 1.2871,                 1.3512,                0.70559,                 0.3664,                  0.348,                0.15861,                 2.3263,                 2.8126,                 2.6167,                 2.2222,                 3.1114,                 2.4999,               0.003664,               0.003664,               0.003664
                     67,                 1.2364,                 1.1447,                 1.3804,                 1.2897,                 1.2728,                  1.353,                0.80827,                0.47197,                0.57867,                0.29446,                 1.6851,                  1.462,                 1.8046,                 1.6908,                 1.5609,                 1.7657,               0.003565,               0.003565,               0.003565
                     68,                 1.2281,                 1.1134,                 1.3647,                 1.2755,                 1.2496,                 1.3449,                0.81788,                0.50517,                0.59988,                 0.3378,                 1.5716,                 1.3606,                 1.7546,                 1.5309,                 1.4672,                  1.711,               0.003466,               0.003466,               0.003466
                     69,                 1.2334,                 1.1184,                 1.3677,                  1.281,                 1.2409,                 1.3522,                0.72047,                0.38799,                0.45342,                0.22509,                 1.9509,                 1.9895,                 2.1058,                 1.8812,                 2.1883,                 1.9665,               0.003367,               0.003367,               0.003367
                     70,                 1.2151,                 1.0898,                 1.3629,                 1.2701,                 1.1951,                 1.3463,                0.75789,                0.54465,                0.61329,                0.33909,                 1.5896,                 1.3264,                 1.7422,                 1.5804,                 1.3675,                 1.7044,               0.003268,               0.003268,               0.003268
                     71,                 1.2248,                 1.1028,                  1.349,                  1.283,                  1.228,                 1.3243,                0.76889,                0.52569,                0.60601,                0.33334,                 1.5395,                 1.3389,                 1.7136,                 1.5702,                 1.4538,                 1.6884,               0.003169,               0.003169,               0.003169
                     72,                 1.2326,                 1.1089,                 1.3693,                 1.2546,                 1.2007,                  1.319,                0.72374,                0.39755,                0.45508,                0.21868,                  1.893,                 2.1046,                 2.0893,                 1.9061,                 2.2457,                 2.0646,                0.00307,                0.00307,                0.00307
                     73,                 1.2333,                 1.0755,                 1.3662,                 1.2747,                 1.1891,                 1.3337,                0.70401,                0.52772,                0.56229,                0.29603,                 1.6425,                 1.4924,                 1.7885,                 1.5946,                 1.6662,                 1.7209,               0.002971,               0.002971,               0.002971
                     74,                 1.1917,                 1.0731,                 1.3443,                 1.2556,                 1.1653,                 1.3256,                0.68378,                 0.5495,                0.57358,                0.30535,                 1.6287,                 1.3524,                  1.778,                 1.6525,                 1.4674,                 1.7328,               0.002872,               0.002872,               0.002872
                     75,                 1.2101,                 1.0685,                  1.344,                 1.2702,                 1.1643,                  1.328,                0.75703,                0.53944,                   0.61,                0.34987,                 1.5117,                 1.2604,                 1.6839,                 1.5044,                 1.3571,                 1.6316,               0.002773,               0.002773,               0.002773
